pop_id,origin_prefecture,destination_prefecture,origin_site_id,destination_site_id,movements_per_weekday,source
jp-noncommute-01-04-000006,01,04,demand-site-05a1bb1c19bfed3a9aa2627a,demand-site-c57501b4f8d9af0ac99756ce,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-04-000007,01,04,demand-site-c2f625ff4425d4ec0749bfae,demand-site-83c0d8528e588a1bfda1ae68,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-04-000008,01,04,demand-site-fb553c01be21e84a83ee4b30,demand-site-95a6a040d791cb088c74a30c,57,2015 National Survey of Net Passenger Flow
jp-noncommute-01-05-000001,01,05,demand-site-7c4904177f9261cd76df4045,demand-site-7af0bc4ba50c5b08670855ae,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-05-000002,01,05,demand-site-9b4fff14d4f3cee62e7aba41,demand-site-7e2914fc223e0d950c87e686,81,2015 National Survey of Net Passenger Flow
jp-noncommute-01-06-000001,01,06,demand-site-fba49b5edec2d4251d9df818,demand-site-539f1c3e5b08492efdfa0780,159,2015 National Survey of Net Passenger Flow
jp-noncommute-01-07-000001,01,07,demand-site-46ab6eacedf3ca33cd3abae1,demand-site-74804ab3d57d1d3872245920,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-07-000002,01,07,demand-site-883497bdcb063d8ba0bd7a50,demand-site-2aabfc6c7498bae73f251f17,92,2015 National Survey of Net Passenger Flow
jp-noncommute-01-08-000001,01,08,demand-site-d96939f6e575d69810a343ae,demand-site-da73900f0945f78946276803,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-08-000002,01,08,demand-site-047f81ec85be7876775dd117,demand-site-87ecf15588398101c699a70a,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-08-000003,01,08,demand-site-62d3922154ef7e990fc280a9,demand-site-2fea72487963d2802b112677,137,2015 National Survey of Net Passenger Flow
jp-noncommute-01-09-000001,01,09,demand-site-22bffeea96a5f761f3abe475,demand-site-abcaba98fd43b4c84f1df2bf,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-09-000002,01,09,demand-site-cc3755ba8a0b7f878e4793a4,demand-site-84ef8a2e6c1b9fa50d1ecf00,51,2015 National Survey of Net Passenger Flow
jp-noncommute-01-10-000001,01,10,demand-site-371aef5454ba0865f40c1b13,demand-site-265d5679f2649dfdedac12ac,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-10-000002,01,10,demand-site-55f1a2686f6668ae51bc3920,demand-site-98d921d44c1efa2daee3f890,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-10-000003,01,10,demand-site-bd9deff9f8785ee3b400d394,demand-site-87f0ee65dffde9c919541b8e,9,2015 National Survey of Net Passenger Flow
jp-noncommute-01-11-000001,01,11,demand-site-5a992ee73f1a0dd7515ed465,demand-site-3e16bb0ecbd1e725ee8479ed,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-11-000002,01,11,demand-site-367daaa1783dbcfd7d064c35,demand-site-85c4bd9e8c15b31e25705529,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-11-000003,01,11,demand-site-78f8dd7e7efa6c9e63e8729c,demand-site-9b32700034f525c2bce6f84d,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-11-000004,01,11,demand-site-b1974a5d053518cf419a2d25,demand-site-33ac1b77f696d8b511d6ccd7,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-11-000005,01,11,demand-site-a6370524be9b9d87e413d90b,demand-site-644b5a9869dc9d4ef8ff96df,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-11-000006,01,11,demand-site-66084d4bfe3fadee17794f5a,demand-site-fd931d3e043e6b88cd17e3e7,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-11-000007,01,11,demand-site-718a333873e7cb25d481ef59,demand-site-84ee07a8e0072b91552f5fb2,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-11-000008,01,11,demand-site-b0f49c416d0b893e26f69faf,demand-site-9ad8dde9779e6d591f7f9c8d,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-11-000009,01,11,demand-site-3a50d58fd6ca581b67016f0d,demand-site-a7a3e8d1f790d04bdeb5ff8d,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-11-000010,01,11,demand-site-f303943660ce6143ea150982,demand-site-b05d8ac3e670267de4006189,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-11-000011,01,11,demand-site-7d3d5fa00e77589985858e07,demand-site-9b32700034f525c2bce6f84d,146,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000001,01,12,demand-site-31a6bce54b7426a3f2d64aaf,demand-site-4e6359c1f666325c00a1efa3,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000002,01,12,demand-site-adc4d7f629aef2a00bfde5fd,demand-site-29cfc2c1d671df826970e778,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000003,01,12,demand-site-6f48f4e2af7880275114622b,demand-site-2587888ff00af27b6d78b00e,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000004,01,12,demand-site-049fc7db53fe9be9e445411e,demand-site-f2bd0780f1d1e7620f978663,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000005,01,12,demand-site-f924d6e5d69545f5d796bb94,demand-site-7a427d47f9dded7c53f2e08d,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000006,01,12,demand-site-26d130e8a0aebdd134c084b3,demand-site-03f6ff32a37900c436427ccb,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000007,01,12,demand-site-f53d38c63bfb756a8d694728,demand-site-ffb787a5cc023d457b6b33db,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000008,01,12,demand-site-cd50386fb8b9b4e8876adff2,demand-site-d0d1e16b9d7e2f1d292e2aa5,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000009,01,12,demand-site-5a3ba31291645cc7d71b5ba5,demand-site-5c7fb5c9cba6c2aa101b4a9c,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000010,01,12,demand-site-67f69cd7d096a625573b72f5,demand-site-48aa96224b50f62020a37b57,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000011,01,12,demand-site-49663e1d59bd8c51b34c77db,demand-site-9e583c17363c8051a483d32d,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000012,01,12,demand-site-b23a1df63bc4f3e6c9889b5a,demand-site-591c4e00e2b5e251685abaed,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000013,01,12,demand-site-7b43fd7207580459b8b9da4e,demand-site-103d40e991bdeac5c95cb61e,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-12-000014,01,12,demand-site-688d391602c839d8ba960d8c,demand-site-16592cd8de49271d06752efb,78,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000001,01,13,demand-site-628d5c0acadda283e5cc8f15,demand-site-13c782b0937515c6ab04462b,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000002,01,13,demand-site-3dac065f0e76542d939ca170,demand-site-e6bda85261e8dda20a635585,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000003,01,13,demand-site-1518b5b6f6ea82f5cbfdd4ca,demand-site-678ef15af1217ae83abee8aa,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000004,01,13,demand-site-85a2c6e84ae1063fa3017b34,demand-site-aaeb9669b5af4543857e68e1,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000005,01,13,demand-site-93a9fd0daab5795fbdb8ca6a,demand-site-1620e74799d43dfbca2b56e8,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000006,01,13,demand-site-4c3c2b24481f6b0e4616c693,demand-site-16a65cd68b94b13385f9bf03,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000007,01,13,demand-site-878001e20ccb7b28fb3ea47a,demand-site-39ec13af72dad772b1549148,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000008,01,13,demand-site-bd9d1ee25ab098c37c707ca8,demand-site-a0f7cc2bd559a5a4054568fb,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000009,01,13,demand-site-6e70fdfa40b4c80fa2e696c3,demand-site-61f0dc73c0c1422937ee81c8,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000010,01,13,demand-site-0c0c3e12d7c736ef334bc6b1,demand-site-1ba93dcc84f5a7ba0eb79a01,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000011,01,13,demand-site-62a60fc01082c8e772b27d4d,demand-site-5c45940628714943ae04c077,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000012,01,13,demand-site-dceb48a6cc7ecebc5da6f194,demand-site-e5c40938f1be76970e81ef49,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000013,01,13,demand-site-2d73fa8d4d8f8794b48ce81c,demand-site-7929aed0b5846a43aafc0bef,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000014,01,13,demand-site-630320bd5fe33d1ff8526439,demand-site-6ff3540a63f102212966ffa0,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000015,01,13,demand-site-c232ab75bba57f191849d8aa,demand-site-6e3cf5d689d8d46375abdd87,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000016,01,13,demand-site-9fd4840e8faa1716dba5be8e,demand-site-37d62046705ddaa5e6ef2824,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000017,01,13,demand-site-feb201cac89663a7306bdb73,demand-site-90079b855744d9b97e058cbe,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000018,01,13,demand-site-8f44dbbe7d3564c1d41b2b1f,demand-site-e7eeabce3fb6fcc6bddc425f,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000019,01,13,demand-site-22f03891eef8476b341a3801,demand-site-6c42156733488824cc001983,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000020,01,13,demand-site-30625ebb29c8810bfbe4510d,demand-site-6cc208acc7b8c3265fca42ae,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000021,01,13,demand-site-666b404c529e4b1c0eeddcc7,demand-site-e2e0c9f5f5697bf7af9874d6,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000022,01,13,demand-site-e31df693e5005e454f1446f1,demand-site-e7274239682602dedfeccb4a,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000023,01,13,demand-site-8f1a7de6adc18aa225c9373a,demand-site-85a4e83e9f0ea3566ca0603c,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000024,01,13,demand-site-9cc565a781c35715ff61b2cb,demand-site-6eda5b5e89824922ae59a729,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000025,01,13,demand-site-a692bdd1e7f4d9856449085f,demand-site-184db7cbffb52d1545b615eb,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000026,01,13,demand-site-5d384a7bc4ea85219b55e6a7,demand-site-f2ec9266913eb63f85156c84,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000027,01,13,demand-site-03e711766da3d96131860363,demand-site-c1997ca95719a72586c23121,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000028,01,13,demand-site-14c3b8f4c37380550f9bbfb5,demand-site-308b7773b093f28564cc55c0,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000029,01,13,demand-site-0389e075fe95efc60267ee9f,demand-site-1cec67298841ecb7ec421328,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000030,01,13,demand-site-b9ae3c57ce1f4caa3e346417,demand-site-2baa30bffdcd4aa673ba3935,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000031,01,13,demand-site-d145a6d76c56c57bafce458b,demand-site-88aef3a35393a64b96ddfc64,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000032,01,13,demand-site-15d4fd41b728a336e166fb36,demand-site-854768ed9b5cba8efedb5cc3,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000033,01,13,demand-site-5a321b27025e8b4c5ee455b4,demand-site-d34acfe29c39fce90b6ffc89,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000034,01,13,demand-site-c192102ac292019838065ca8,demand-site-cf2a6a09d8d8206dd37970ec,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000035,01,13,demand-site-0df8015207b5fb20daf6667e,demand-site-84f3953b4399343ba78799da,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000036,01,13,demand-site-59bb2cd62e1b8540d28454ba,demand-site-e005001d7db0b5484c65f65d,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000037,01,13,demand-site-4f77b53dae538a30406169bc,demand-site-18b814465fd2143b38092706,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000038,01,13,demand-site-3210bb53999f5e93382f0472,demand-site-9d1b220fc97f3a78617a529c,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000039,01,13,demand-site-5e9eba5aeef39b2336602557,demand-site-99e863ff88c0545bbf0ef8c9,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000040,01,13,demand-site-9919a5a68de347c30e004e75,demand-site-e70b736232a154b9ca2bbb99,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000041,01,13,demand-site-7d81e331943a81b9a1554ac1,demand-site-f8ab198dac1e36cf03d24cb2,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000042,01,13,demand-site-1f26a62853f2f96d068f841a,demand-site-df5e846d89d7e59630d8deac,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000043,01,13,demand-site-d478561f40943040250c01c4,demand-site-9a0ac09930e44e60cef15f59,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000044,01,13,demand-site-9cc565a781c35715ff61b2cb,demand-site-4a5d6f83c2ccdb6f2e265d0b,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000045,01,13,demand-site-b0ad58f361e5b0379ac151be,demand-site-065004808533c8c41d0dc46b,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000046,01,13,demand-site-c8db5bf301a382f87f0e660a,demand-site-da32b6e4d4a49e37bcd9bd4c,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000047,01,13,demand-site-9b35d20c09b529674ed0c4ca,demand-site-6737901ce91d5a9383df0a8d,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000048,01,13,demand-site-18832ee8c4afffbda4188dea,demand-site-0093baa241eb597ca80de15e,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000049,01,13,demand-site-4eea549e77b64c9622e8a0d4,demand-site-b812df9025fea973962f8f11,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000050,01,13,demand-site-469526b44a8751d4382662f8,demand-site-351b4ce90843f75318ff516b,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000051,01,13,demand-site-8bbc92e9cf55a35f71a2b3bf,demand-site-e326a45955040c597c03cd99,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000052,01,13,demand-site-7d28fe910ff8c42c6a051e76,demand-site-59e58099dc8885fc080aa889,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000053,01,13,demand-site-486f88ab872127af458bad0d,demand-site-6e3cf5d689d8d46375abdd87,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000054,01,13,demand-site-a29af1b1a485183c2f3bd747,demand-site-1620e74799d43dfbca2b56e8,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-13-000055,01,13,demand-site-7621cceb95256685ade5ae7b,demand-site-038679cff5de73e20471e37d,52,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000001,01,14,demand-site-53213430ed219d02e61d4f24,demand-site-3dbb2dd21861686a7c17739d,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000002,01,14,demand-site-8c2705097b277c9b241e7179,demand-site-42019bb5aaea5f7d28d80c44,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000003,01,14,demand-site-379c30fa14878e1b7a3333de,demand-site-1faba1dfb1130e90b58bd07e,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000004,01,14,demand-site-4c72f31270aa20800ab6bbff,demand-site-94756f7e301d613059a766a4,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000005,01,14,demand-site-e38df3b63ea909743118d7da,demand-site-05e8c689e520faa93e16ce47,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000006,01,14,demand-site-f63ce99944f0d9e8db018c12,demand-site-8bcd95f92cb990bf660185b7,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000007,01,14,demand-site-899faee680972cfc10c5d0c1,demand-site-077d6a78fe32a95315b7d39d,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000008,01,14,demand-site-ecf83595aa9c03241896a86f,demand-site-1dcffcb721459bfbbe18ea4c,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000009,01,14,demand-site-c41daf7aa8af46999a9e5cfc,demand-site-48e5c89f21ab9df35e075856,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000010,01,14,demand-site-ae31a2256ec45c8094da5d52,demand-site-15226d6362d888d435d303d9,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000011,01,14,demand-site-5a067fbc3b16ea948df01cbb,demand-site-b753fa6399759fc9f8a11c27,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000012,01,14,demand-site-e8a107fd8cd58be74180f30c,demand-site-1917c1da3a40269e23e74de3,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000013,01,14,demand-site-d16f9a606f4b120cfb7e91a2,demand-site-fc5cb1154fa9908ec03a21a1,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000014,01,14,demand-site-9571d2a164420d390750989e,demand-site-503f5ff39c85fb0943bc736a,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000015,01,14,demand-site-b861a4f8e9b58b2fad4aa376,demand-site-26680e8bcf1f1982e5be7eed,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000016,01,14,demand-site-27a4f54a01b10ca94d7dbc36,demand-site-2103732a5759e77705997c33,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-14-000017,01,14,demand-site-c8d5520f68b052096d3b1c34,demand-site-f52cf0f558ffaac81187eebf,130,2015 National Survey of Net Passenger Flow
jp-noncommute-01-15-000001,01,15,demand-site-3ac6dc906eb12a204ac68a37,demand-site-1386836679ee1e842818140b,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-15-000002,01,15,demand-site-2be1e7db899c8467d011cb63,demand-site-7d79afe121fcdb48b004285d,111,2015 National Survey of Net Passenger Flow
jp-noncommute-01-16-000001,01,16,demand-site-10f6b33badf4680e677a5b1c,demand-site-45bd13b10ff586638ce97ff8,171,2015 National Survey of Net Passenger Flow
jp-noncommute-01-17-000001,01,17,demand-site-3b3bef5558fc436ad2618f46,demand-site-971e1b532cd6d648c58979fa,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-17-000002,01,17,demand-site-7fdd6a9426f96740837a8e95,demand-site-d49b537b5a3b6f7535756c16,124,2015 National Survey of Net Passenger Flow
jp-noncommute-01-18-000001,01,18,demand-site-5981748ccd3bb08619079f98,demand-site-7327aacc2ca270a77a8e4c43,53,2015 National Survey of Net Passenger Flow
jp-noncommute-01-19-000001,01,19,demand-site-1f2b83a22dc5abd6c9e74afa,demand-site-0ece710525ee73e6413a12ff,142,2015 National Survey of Net Passenger Flow
jp-noncommute-01-20-000001,01,20,demand-site-db7721485b13d3ca32319f21,demand-site-1e46b35ac75ead617cb43ad2,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-20-000002,01,20,demand-site-6baa2300a84e566bf44729c0,demand-site-880f8e8c00cdf1e1c5ec1114,165,2015 National Survey of Net Passenger Flow
jp-noncommute-01-21-000001,01,21,demand-site-689d491a783c9128b41cbc7e,demand-site-a7e59e1a2cccbec3b6766877,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-21-000002,01,21,demand-site-fda213403f1c2c98b335b780,demand-site-e7d0af3087945c45ba7834c5,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-21-000003,01,21,demand-site-d7ab393d8dee994b3eedff77,demand-site-3e6d2a812bbcc2ea700c46e3,35,2015 National Survey of Net Passenger Flow
jp-noncommute-01-22-000001,01,22,demand-site-f4cf0ae9a30c61cb0af27f75,demand-site-cc47b291cc3b268e07fd23c6,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-22-000002,01,22,demand-site-ddc6927daea29a782a71cdc3,demand-site-d8cde86acadc59efea7003ae,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-22-000003,01,22,demand-site-b17001fbcea35b5f50d80961,demand-site-be73294ff584093a0973c04b,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-22-000004,01,22,demand-site-99dbc0a4c58b2554df47dd63,demand-site-50ad5c8e5660488e6f819722,22,2015 National Survey of Net Passenger Flow
jp-noncommute-01-23-000001,01,23,demand-site-29d0c5c20017c23a95036882,demand-site-fbab297f9a3fc4ad1ac26cc6,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-23-000002,01,23,demand-site-555fd13a29d373e2b4bd92ab,demand-site-f2e58ccf913f412c0f2dc7ba,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-23-000003,01,23,demand-site-144628ec5c640ddcffdfda3b,demand-site-02678b96d89abf54971af36a,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-23-000004,01,23,demand-site-adb3ae017538b4541de1537b,demand-site-8faf86c3205afa7474e04b48,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-23-000005,01,23,demand-site-d385c74dc845ed6440d8974c,demand-site-fc6ccc4b497802520c4f657d,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-23-000006,01,23,demand-site-f8a2ce6acb08ee04364845ba,demand-site-8887e5b72b5cfa1a95241afd,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-23-000007,01,23,demand-site-4a8899204f53e8eaf12e680b,demand-site-2d85cf56810e1677ededd855,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-23-000008,01,23,demand-site-5f74d43eb8b00d917162f27a,demand-site-1c92fa96a9d5d4dfd682718c,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-23-000009,01,23,demand-site-555fd13a29d373e2b4bd92ab,demand-site-7a7601621b45c2732b97e2fe,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-23-000010,01,23,demand-site-78903b3c13242ca57ab2fbe6,demand-site-52871411ca99ab59234de8f6,148,2015 National Survey of Net Passenger Flow
jp-noncommute-01-24-000001,01,24,demand-site-7d28fe910ff8c42c6a051e76,demand-site-b0aef5d525862da00e6b395f,194,2015 National Survey of Net Passenger Flow
jp-noncommute-01-25-000001,01,25,demand-site-bafc4021ece720aa7e9e90d4,demand-site-a01451e367146e567e0b72c3,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-26-000001,01,26,demand-site-6f901020048771d28c4a2cf0,demand-site-80a31e4e3f2e38b73ab962af,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-26-000002,01,26,demand-site-8b6fd425029f9dd4c31e523d,demand-site-e00a46ec2f65fb432429ee7b,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-26-000003,01,26,demand-site-376bc0b5b3a20e9ab0f626c7,demand-site-80a31e4e3f2e38b73ab962af,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-26-000004,01,26,demand-site-15dd513be10cafe3145a9c2d,demand-site-4a81937f575f76b776447f12,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-26-000005,01,26,demand-site-9aa96a6d967cc02b30608866,demand-site-5d172cca56bace9a967f4e4e,165,2015 National Survey of Net Passenger Flow
jp-noncommute-01-27-000001,01,27,demand-site-cbcdca1b391af22f1435059c,demand-site-0441a9f1cad3862288009ff6,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-27-000002,01,27,demand-site-9c3be158ee84dbd7f93f6d69,demand-site-63f903d203c60f179399e829,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-27-000003,01,27,demand-site-6c3cf6d16a9f29c34c4e6fda,demand-site-5a6dc037d78f8e059986abbe,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-27-000004,01,27,demand-site-2106dfd1257d5e79cc8a5fec,demand-site-b3de8125b747b6d7d8b0d773,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-27-000005,01,27,demand-site-87ddbd05f16054d2b4d1ef55,demand-site-35457436c4a4957397ce8736,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-27-000006,01,27,demand-site-9c6d1e587fceaeb118fd118d,demand-site-886bd73341d263b9f48768c9,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-27-000007,01,27,demand-site-5de1eedf4c0af85861fd263d,demand-site-8e166bcaf95256aef99a28e6,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-27-000008,01,27,demand-site-4a9e29ee35e5036f11983b80,demand-site-ec24e66fe2ca09ee8ffd6c5e,200,2015 National Survey of Net Passenger Flow
jp-noncommute-01-27-000009,01,27,demand-site-9f7df196b524fb9ae8b37cec,demand-site-a78c066b56dfbd9250c1551f,200,2015 National Survey of Net Passenger Flow
